Nom champ;Description ;Exemple;Type de données;Is na ;Description DS
IncidentNumber;LFB Incident Number;000008-01012018;object;N;Clé unique d'incident 
DateOfCall;Date of 999 call;01-janv-18;object;N;Date de l'appel 
CalYear;Year of 999 call;2018;int64;N;Année de l'appel 
TimeOfCall;Time of 999 call;00:04:25;object;N;Heure de l'appel 
HourOfCall;Hour of 999 call;0;int64;N;Extraction de l'heure seulement 
IncidentGroup;High level incident category;False Alarm;object;N;Groupe d'incident : Feu, Fausse alarme ou Service spécial 
StopCodeDescription;Detailed incident category;AFA;object;N;"Détails supplémentaires pour les services spéciaux ('Special Service' 'Secondary Fire' 'AFA' 'Primary Fire'
 'False alarm - Good intent' 'False alarm - Malicious' 'Chimney Fire'
 'Flood call attended - Batch mobilised' 'Late Call'
 'Use of Special Operations Room')"
SpecialServiceType;Further detail for special services incident categories;;object;Y;"Détails supplémentaires pour les groupes d'incidents 'Assist other agencies' nan 'RTC' 'Flooding' 'Medical Incident'
 'Lift Release' 'No action (not false alarm)' 'Effecting entry/exit'
 'Animal assistance incidents' 'Other rescue/release of persons'
 'Making Safe (not RTC)' 'Other Transport incident' 'Evacuation (no fire)'
 'Spills and Leaks (not RTC)' 'Removal of objects from people'
 'Hazardous Materials incident' 'Advice Only' 'Water provision'
 'Rescue or evacuation from water' 'Suicide/attempts' 'Stand By'
 'Medical Incident - Co-responder'"
PropertyCategory;High level property descriptor;Non Residential;object;N;"Type de propriété ('Outdoor' 'Dwelling' 'Road Vehicle' 'Outdoor Structure'
 'Other Residential' 'Non Residential' 'Aircraft' 'Rail Vehicle' 'Boat')"
PropertyType;Detailed property descriptor;Mosque ;object;N;Détail sur les types de propriétés ici
AddressQualifier;Qualifies location of actual incident relevant to category above;Within same building;object;N;"Description du lieu de l'incident ('Open land/water - nearest gazetteer location'
 'In street outside gazetteer location' 'On land associated with building'
 'Correct incident location' 'On motorway / elevated road'
 'In street remote from gazetteer location' 'Within same building'
 'In street close to gazetteer location'
 'Nearby address - street not listed in gazetteer'
 'Nearby address - no building in street' 'Railway land or rolling stock)'"
Postcode_full;Postcode;N2 8AY;object;Y;Code postal entier
Postcode_district;Postcode Districs;N2;object;N;Premiers chiffres du CP
UPRN;Unique Property Reference Number;200220110;float64;N;Réf unique de l'endroit où se trouve la propriété 
USRN;Unique Street Reference Number;20013420;float64;N;Réf unique de la rue où se trouve la propriété 
IncGeo_BoroughCode;Borough Code;E09000003;object;N;"Code de quartier ('E09000022' 'E09000010' 'E09000017' 'E09000019' 'E09000007' 'E09000011'
 'E09000018' 'E09000028' 'E09000012' 'E09000001' 'E09000006' 'E09000024'
 'E09000020' 'E09000029' 'E09000025' 'E09000026' 'E09000030' 'E09000031'
 'E09000023' 'E09000033' 'E09000008' 'E09000027' 'E09000003' 'E09000005'
 'E09000014' 'E09000004' 'E09000002' 'E09000032' 'E09000013' 'E09000016'
 'E09000009' 'E09000021' 'E09000015')"
IncGeo_BoroughName;Borough Name;BARNET;object;N;"Nom de quartier ('LAMBETH' 'ENFIELD' 'HILLINGDON' 'ISLINGTON' 'CAMDEN' 'GREENWICH'
 'HOUNSLOW' 'SOUTHWARK' 'HACKNEY' 'CITY OF LONDON' 'BROMLEY' 'MERTON'
 'KENSINGTON AND CHELSEA' 'SUTTON' 'NEWHAM' 'REDBRIDGE' 'TOWER HAMLETS'
 'WALTHAM FOREST' 'LEWISHAM' 'WESTMINSTER' 'CROYDON'
 'RICHMOND UPON THAMES' 'BARNET' 'BRENT' 'HARINGEY' 'BEXLEY'
 'BARKING AND DAGENHAM' 'WANDSWORTH' 'HAMMERSMITH AND FULHAM' 'HAVERING'
 'EALING' 'KINGSTON UPON THAMES' 'HARROW')"
ProperCase;Borough Name;Barnet;object;N;Même chose que précédemment mais en letter case différent
IncGeo_WardCode;Ward Code;E05000049;object;N;Code de circonscription
IncGeo_WardName;Ward Name;EAST FINCHLEY;object;N;"Nom de la circonscription ('Waterloo & South Bank' 'Haselbury' 'Hillingdon East' ...
 'WORCESTER PARK SOUTH' 'COOMBE VALE' 'HOUNSLOW SOUTH')"
IncGeo_WardNameNew;New Ward Name;EAST FINCHLEY;object;N;Même chose que précédemment 
Easting_m;Easting;527184;float64;Y;Ligne divisant le plan de la ville de haut en bas
Northing_m;Northing;189488;float64;Y;Ligne divisant le plan de la ville de gauche à droite
Easting_rounded;Easting rounded up to nearest 50;527150;int64;?;Code Easting arrondi 
Northing_rounded;Northing rounded up to nearest 50;189450;int64;?;Code Northing arrondi
Latitude;Latitude;51,58990022;float64;Y;Latitude 
Longitude;Longitude;-0,165452578;float64;Y;Longitude
FRS;Fire Service ground;London;object;N;Londres
