IncidentGroup;StopCodeDescription;PropertyCategory;PropertyType;AddressQualifier;Postcode_district;IncGeo_BoroughCode;ProperCase;IncidentStationGround;FirstPumpArriving_DeployedFromStation
Fire;Secondary Fire;Outdoor;Road surface/pavement ;In street outside gazetteer location;N9;E09000010;Enfield;Edmonton;Edmonton
False Alarm;AFA;Dwelling;Domestic garden (vegetation not equipment) ;On land associated with building;UB10;E09000017;Hillingdon;Hillingdon;Hillingdon
Special Service;Special Service;Road Vehicle;Cycle path/public footpath/bridleway ;Correct incident location;N7;E09000019;Islington;Holloway;Holloway
;False alarm - Good intent;Outdoor Structure;Purpose Built Flats/Maisonettes - Up to 3 storeys ;On motorway / elevated road;NW5;E09000007;Camden;Kentish Town;Kentish Town
;Primary Fire;Other Residential;Car ;In street remote from gazetteer location;SE3;E09000011;Greenwich;Lee Green;East Greenwich
;False alarm - Malicious;Non Residential;Small refuse/rubbish container;Within same building;EC1V;E09000028;Southwark;Shoreditch;Clerkenwell
;Chimney Fire;Aircraft;Student Hall of Residence ;In street close to gazetteer location;WC1B;E09000018;Hounslow;Soho;Euston
;Late Call;Rail Vehicle;Converted Flat/Maisonette - Up to 2 storeys ;Nearby address - street not listed in gazetteer;SE5;E09000012;Hackney;Peckham;Peckham
;;Boat;Loose refuse ;Open land/water - nearest gazetteer location;TW3;E09000001;City Of london;Heston;Feltham
;;;Purpose Built Flats/Maisonettes - 4 to 9 storeys ;Nearby address - no building in street;E8;E09000006;Bromley;Homerton;Homerton
;;;Park ;Railway land or rolling stock;EC1A;E09000024;Merton;Dowgate;Dowgate
;;;Purpose Built Flats/Maisonettes - 10 or more storeys ;;SE26;E09000025;Newham;Beckenham;Beckenham
;;;Hotel/motel ;;CR4;E09000022;Lambeth;Mitcham;Mitcham
;;;House - single occupancy ;;WC2R;E09000026;Redbridge;Euston;Soho
;;;Restaurant/cafe;;N1;E09000030;Tower Hamlets;East Ham;Plaistow
;;;Other outdoor location ;;E6;E09000033;Westminster;Old Kent Road;Old Kent Road
;;;Large refuse/rubbish container (eg skip/ paladin);;SE17;E09000008;Croydon;Brixton;Southwark
;;;Museum ;;EC4A;E09000027;Richmond Upon thames;Tooting;Clapham
;;;Department Store ;;SE1;E09000023;Lewisham;Hainault;Tooting
;;;Post box ;;SW8;E09000014;Haringey;Poplar;Hainault
;;;Converted Flat/Maisonettes - 3 or more storeys;;SW16;E09000004;Bexley;West Norwood;Poplar
;;;Club/night club ;;IG6;E09000005;Brent;Plumstead;West Norwood
;;;Self contained Sheltered Housing ;;E3;E09000002;Barking And dagenham;Croydon;Islington
;;;Nursing/Care Home/Hospice;;SW2;E09000003;Barnet;Norbury;Croydon
;;;Hostel (e.g. for homeless people) ;;WC2N;E09000031;Waltham Forest;Twickenham;Norbury
;;;Nurses'/Doctors' accommodation ;;SE18;E09000032;Wandsworth;Deptford;Kingston
;;;Shelter ;;CR9;E09000013;Hammersmith And fulham;Hornsey;Deptford
;;;Licensed House in Multiple Occupation - Up to 2 storeys ;;TW11;E09000009;Ealing;Bexley;Hornsey
;;;Multi-Storey car park;;E9;E09000021;Kingston Upon thames;Willesden;Bexley
;;;Other bulk storage;;SE8;E09000020;Kensington And chelsea;Eltham;West Hampstead
;;;Roadside furniture (eg lamp posts/ road signs/ telegraph poles/ speed cameras);;N6;E09000016;Havering;Dagenham;Sidcup
;;;Monastery/convent ;;DA5;E09000029;Sutton;Stratford;Dagenham
;;;Hospital ;;EC1M;E09000015;Harrow;Barnet;Stratford
;;;Airport - terminal ;;WC1H;;;Addington;Barnet
;;;Tenement Building ;;NW2;;;Finchley;Addington
;;;Purpose built office ;;SE9;;;Ilford;Hendon
;;;Local Government Office;;KT1;;;East Greenwich;Ilford
;;;Other retail warehouse ;;RM8;;;Paddington;Paddington
;;;Shopping Centre ;;E15;;;Leyton;Leyton
;;;Single shop ;;SE20;;;Hayes;Hayes
;;;Retirement/Old Persons Home;;EN5;;;North Kensington;North Kensington
;;;Licensed House in Multiple Occupation - 3 or more storeys ;;CR0;;;Battersea;Battersea
;;;Tree scrub ;;N3;;;Stoke Newington;Stoke Newington
;;;Bridge;;IG1;;;Bethnal Green;Enfield
;;;Grassland/ pasture/ grazing etc ;;WC2B;;;Enfield;Twickenham
;;;Refuse/rubbish tip ;;W9;;;Woodside;Tottenham
;;;Other medical establishment (including surgery) ;;E10;;;Tottenham;Hammersmith
;;;Other road vehicle;;UB3;;;Hammersmith;Belsize
;;;DIY Warehouse ;;W11;;;Plaistow;New Cross
;;;Takeaway/ fast food ;;SW11;;;New Cross;Ruislip
;;;Gym ;;N16;;;Ruislip;Shoreditch
;;;Airport building (not terminal or hangar) ;;EN1;;;Ealing;Ealing
;;;Bungalow - single occupancy ;;SE25;;;Mill Hill;Mill Hill
;;;Sheltered Housing : not self contained ;;TW1;;;Heathrow;Eltham
;;;Scrub land ;;N15;;;Woodford;Heathrow
;;;Van ;;W14;;;Walthamstow;Woodford
;;;Sports/Social club ;;W1H;;;Surbiton;Walthamstow
;;;Boarding House/B&B for homeless/asylum seekers ;;NW3;;;Wandsworth;Surbiton
;;;Converted office ;;SE7;;;Northolt;Wandsworth
;;;Motorcycle ;;E13;;;Kensington;Northolt
;;;Exhibition Centre ;;SE23;;;Harold Hill;Romford
;;;Lorry/HGV ;;HA6;;;Southall;East Ham
;;;Bank/Building Society ;;E2;;;Dockhead;Southall
;;;College/University ;;W5;;;Lambeth;Dockhead
;;;Bus/coach ;;HA8;;;Feltham;Bromley
;;;Library ;;E18;;;Bromley;Orpington
;;;Infant/Primary school;;E4;;;Romford;Park Royal
;;;Police station ;;KT6;;;Kingston;Lambeth
;;;Call Centre ;;SW15;;;Orpington;Hornchurch
;;;Other office/call centre type building;;E17;;;Wembley;Wimbledon
;;;Train station - elsewhere ;;RM10;;;Wimbledon;Woolwich
;;;Pub/wine bar/bar ;;UB6;;;Southgate;Forest Hill
;;;Health Centre ;;N13;;;Forest Hill;Willesden
;;;Large supermarket ;;BR3;;;Whitechapel;Whitechapel
;;;Other Residential Home ;;SE16;;;West Hampstead;Sutton
;;;Theatre ;;RM3;;;Sutton;Barking
;;;Factory ;;W6;;;Barking;Plumstead
;;;Community centre/Hall ;;TW6;;;New Malden;New Malden
;;;Football stadium ;;UB5;;;Harrow;Harrow
;;;Printing works;;UB4;;;Hornchurch;Chelsea
;;;Electricity power station ;;W12;;;Chelsea;Brixton
;;;Unlicensed House in Multiple Occupation - Up to 2 storeys ;;SW13;;;Millwall;Millwall
;;;Pipe or drain ;;TW13;;;Stanmore;Stanmore
;;;Warehouse ;;BR1;;;Fulham;Fulham
;;;Other outdoor structures ;;W1J;;;Acton;Lee Green
;;;Leisure Centre ;;RM1;;;Lewisham;Acton
;;;Hairdresser ;;KT2;;;Park Royal;Woodside
;;;Other outdoor equipment/machinery ;;BR5;;;Clapham;Lewisham
;;;Cemetery ;;WC1V;;;Erith;Erith
;;;Art Gallery ;;HA9;;;Islington;Silvertown
